DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
01/31/2025,,"333 Swedesboro Ave. GIBBSTOWN, NJ",500 tons,stone,$13.95/ton,,
02/03/2025,,"1839 NJ 70, Southampton, NJ 08088:",75 tons ,stone ,$10.51/TON,,
02/03/2025,CUST0708,3018 Route 38 Mount Laurel ,1000 tons,crushed (SH),$4.43/TON,,
2/3/2025`,,RT 1 & iNDEPENDENCE WAY PRINCETON,10K TONS,K5 EW,$10.51/TON,,
02/03/2025,BOND9997," 228 NJ-73 berlin, nj",2000 tons,stone,$14.00/TON,,
02/03/2025,,conc,,stone ,$14.12/TON,,
02/03/2025,," 2500 Pennington Rd , Hopewell NJ  (THIS IS COMING UP PENNINGTON 08534) PLEASE VERIFY BEFORE QUOTING",250 tons ,sand ew ,$10.58/TON,,
02/03/2025,,"1114 oxmead rd burlington, nj",8000 tons,stone ,$10.45/TON,,
02/03/2025,,701 randolph rd somerset,2500tons,sand ew ,$10.96/TON,,
02/03/2025,,"1114 oxmead rd burlington, nj",8000 tons,crushed (SH),$5.32/TON,,
,,"900 Richards Run and 319 Dultys Lane, Burlington, NJ.",18000,stone ,$9.62/TON,,
,,"900 Richards Run and 319 Dultys Lane, Burlington, NJ.",18000,crushed  (SH),$5.76/TON,,
,,"1001 US-9, Parlin, NJ 08859",5000,stone ,$9.37 / TON,,
,,"1001 US-9, Parlin, NJ 08859",100,sand ,$11.34/TON,,
,,156 BOUNDARY RD MARLBORO,5000,stone ,$11.15/TON,,
,,156 BOUNDARY RD MARLBORO,3000,SANDEW,$11.53 / TON,,
,,200 FIFTH AVE BELMAR,1000,stone ,$12.19 / TON,,
,,1 TINGLEY LANE EDISON,70,stone ,$8.42 / TON,,
,,2350 WICKFORD RD UNION,10K TONS,stone ,$9.37 / TON,,
,,2350 WICKFORD RD UNION,50,SANDEW,$14.76 / TON,,
,,156 ASBURY-WEST PORTAL RD ASBURY NJ,,SALT,$20.28 / TON,,
,,132 WEST COHAWKIN RD CLARKSBORO,800,THIS SHOULD BE FR SAND ..... NOT EW,FR SAND $7.22/TON,,
,,755 SMITH ST PERTH AMBOY,10K TONS,stone ,$8.23/TON,,
,,"310 SWIMMING RIVER RD, TINTON FALLS 07724???? **CANNOT GET LINCROFT TO COME UP",RUN TINTON FALLS PLEASE,stone ,$12.25/TON,,
,,"1703 Center Square Rd, Logan Township, NJ 08085",9000,stone ,$14.88 / TON,,
